0,0.64,0.64,0,0.32,0,0,0,0,0
0.21,0.28,0.5,0,0.14,0.28,0.21,0.07,0,0.94
0.06,0,0.71,0,1.23,0.19,0.19,0.12,0.64,0.25
0,0,0,0,0.63,0,0.31,0.63,0.31,0.63
0,0,0,0,0.63,0,0.31,0.63,0.31,0.63
0,0,0,0,1.85,0,0,1.85,0,0
0,0,0,0,1.92,0,0,0,0,0.64
0,0,0,0,1.88,0,0,1.88,0,0
0.15,0,0.46,0,0.61,0,0.3,0,0.92,0.76
0.06,0.12,0.77,0,0.19,0.32,0.38,0,0.06,0
0,0,0,0,0,0,0.96,0,0,1.92
0,0,0.25,0,0.38,0.25,0.25,0,0,0
0,0.69,0.34,0,0.34,0,0,0,0,0
0,0,0,0,0.9,0,0.9,0,0,0.9
0,0,1.42,0,0.71,0.35,0,0.35,0,0.71
0,0.42,0.42,0,1.27,0,0.42,0,0,1.27
0,0,0,0,0.94,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.55,0,1.11,0,0.18,0,0,0
0,0.63,0,0,1.59,0.31,0,0,0.31,0
0,0,0,0,0,0,0,0,0,0
0.05,0.07,0.1,0,0.76,0.05,0.15,0.02,0.55,0
0,0,0,0,2.94,0,0,0,0,0
0,0,0,0,1.16,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.05,0.07,0.1,0,0.76,0.05,0.15,0.02,0.55,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.66,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.65,0,0.65,0,0,0
1.17,0,0,0,0,0,0,0,0,0
0,0,3.03,0,0,0,0,0,0,0
0,0,0,0,1.89,0.27,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.68,0,0,0,0,0,0,0,0.68
0,0,2.56,0,0,0,0,0,0,0
0,0,0,0,2.94,0,0,0,0,0
0,0,0.48,0,1.46,0,0.48,0,0,0
0,0.48,0.48,0,0.48,0,0,0,0,0
0,0.41,1.66,0,0.41,0,0,0,0,0
0.3,0,0,0,0.61,0.92,0,2.45,0,0
0,0,0,0,2.94,0,0,0,0,0
0,0,0,0,2.94,0,0,0,0,0
0,0,0.55,0,1.11,0,0.18,0,0,0
0,0,0,0,0.52,0,0.26,0.52,0,0.26
0.15,0.45,1.05,0,0.45,0,0,1.81,0.6,0.75
0.18,0,0.18,0,1.57,0.36,0.06,0.06,0.06,0.12
